"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"20-06-2012 23:55:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:00:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:05:00";401.25;3;4;2;1;0;0;0;0
"21-06-2012 00:10:00";326;9;1;6;1;1;0;0;1
"21-06-2012 00:15:00";398.6;11;5;10;1;0;0;0;0
"21-06-2012 00:20:00";479.167;9;12;6;1;0;0;1;1
"21-06-2012 00:25:00";417;10;5;7;3;0;0;0;0
"21-06-2012 00:30:00";466.444;15;9;13;1;0;0;0;1
"21-06-2012 00:35:00";474.238;7;21;5;2;0;0;0;0
"21-06-2012 00:40:00";626.167;6;6;3;2;0;0;0;1
"21-06-2012 00:45:00";447.143;3;7;2;1;0;0;0;0
"21-06-2012 00:50:00";755.2;4;5;2;2;0;0;0;0
"21-06-2012 00:55:00";447.4;4;5;4;0;0;0;0;0
"21-06-2012 01:00:00";356;7;3;7;0;0;0;0;0
"21-06-2012 01:05:00";508.8;2;5;2;0;0;0;0;0
"21-06-2012 01:10:00";417.667;2;6;2;0;0;0;0;0
"21-06-2012 01:15:00";394.5;3;2;2;1;0;0;0;0
"21-06-2012 01:20:00";421;2;3;2;0;0;0;0;0
"21-06-2012 01:25:00";427;2;1;2;0;0;0;0;0
"21-06-2012 01:30:00";456;0;1;0;0;0;0;0;0
"21-06-2012 01:35:00";555;0;1;0;0;0;0;0;0
"21-06-2012 01:40:00";0;2;0;1;1;0;0;0;0
"21-06-2012 01:45:00";704;7;3;5;2;0;0;0;0
"21-06-2012 01:50:00";411;1;3;0;1;0;0;0;0
"21-06-2012 01:55:00";423.6;2;5;2;0;0;0;0;0
"21-06-2012 02:00:00";365;5;2;4;0;0;0;0;1
"21-06-2012 02:05:00";420;3;2;3;0;0;0;0;0
"21-06-2012 02:10:00";394.6;12;5;10;1;0;0;0;1
"21-06-2012 02:15:00";405.167;12;6;8;4;0;0;0;0
"21-06-2012 02:20:00";405.647;6;17;6;0;0;0;0;0
