"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"19-06-2012 23:50:00";0;4;0;3;1;0;0;0;0
"20-06-2012 00:00:00";396.333;1;3;0;1;0;0;0;0
"20-06-2012 00:10:00";413.75;9;4;6;2;1;0;0;0
"20-06-2012 00:20:00";521.538;19;13;16;3;0;0;0;0
"20-06-2012 00:30:00";495.667;10;15;5;3;0;1;0;1
"20-06-2012 00:40:00";523.143;4;7;2;2;0;0;0;0
"20-06-2012 00:50:00";588.545;14;11;7;4;0;1;1;1
"20-06-2012 01:00:00";560.8;12;10;6;6;0;0;0;0
"20-06-2012 01:10:00";419.769;12;13;10;1;0;0;0;1
"20-06-2012 01:20:00";419.9;9;10;8;1;0;0;0;0
"20-06-2012 01:30:00";571.636;13;11;10;3;0;0;0;0
"20-06-2012 01:40:00";487.071;13;14;11;2;0;0;0;0
"20-06-2012 01:50:00";411.688;9;16;7;2;0;0;0;0
"20-06-2012 02:00:00";418.6;8;5;8;0;0;0;0;0
"20-06-2012 02:10:00";446.333;5;6;4;1;0;0;0;0
"20-06-2012 02:20:00";420.4;6;5;4;2;0;0;0;0
"20-06-2012 02:30:00";421;5;4;4;1;0;0;0;0
"20-06-2012 02:40:00";426.8;9;5;9;0;0;0;0;0
"20-06-2012 02:50:00";456.636;5;11;3;1;0;0;0;1
"20-06-2012 03:00:00";905.286;14;7;12;2;0;0;0;0
"20-06-2012 03:10:00";447.235;13;17;9;3;0;0;0;1
"20-06-2012 03:20:00";413.071;14;14;13;0;0;0;0;1
"20-06-2012 03:30:00";421.417;14;12;9;3;1;0;0;1
"20-06-2012 03:40:00";480.5;19;16;16;1;0;2;0;0
"20-06-2012 03:50:00";426.85;16;20;13;2;1;0;0;0
"20-06-2012 04:00:00";488.889;12;9;10;1;0;1;0;0
"20-06-2012 04:10:00";468.909;12;11;8;2;0;1;0;1
"20-06-2012 04:20:00";453.8;17;15;14;1;0;1;1;0
"20-06-2012 04:30:00";452.6;12;15;11;0;0;0;0;1
"20-06-2012 04:40:00";436.571;18;14;16;2;0;0;0;0
"20-06-2012 04:50:00";451.538;6;13;4;1;1;0;0;0
"20-06-2012 05:00:00";541.8;0;5;0;0;0;0;0;0
"20-06-2012 05:10:00";1292;10;2;8;0;2;0;0;0
"20-06-2012 05:20:00";676;20;11;14;2;3;0;1;0
"20-06-2012 05:30:00";476.417;32;24;19;7;6;0;0;0
"20-06-2012 05:40:00";519.438;35;32;28;3;3;1;0;0
"20-06-2012 05:50:00";447.184;41;38;30;5;5;1;0;0
"20-06-2012 06:00:00";503.541;47;37;35;3;7;1;1;0
