"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"21-06-2012 11:30:00";1022.2;51;49;42;4;4;0;1;0
"21-06-2012 11:40:00";1007.33;40;39;35;2;3;0;0;0
"21-06-2012 11:50:00";1049.73;34;55;24;5;5;0;0;0
"21-06-2012 12:00:00";972.333;31;39;26;2;3;0;0;0
"21-06-2012 12:10:00";840.472;39;36;31;4;2;2;0;0
"21-06-2012 12:20:00";911.381;41;42;34;3;4;0;0;0
"21-06-2012 12:30:00";812.923;40;39;32;4;3;1;0;0
"21-06-2012 12:40:00";702.532;36;47;31;1;4;0;0;0
"21-06-2012 12:50:00";858.594;6;32;5;0;1;0;0;0
"21-06-2012 13:00:00";1410.44;44;9;38;4;1;0;1;0
"21-06-2012 13:10:00";838.889;36;36;28;2;5;1;0;0
"21-06-2012 13:20:00";851.316;38;38;27;6;5;0;0;0
"21-06-2012 13:30:00";768.973;28;37;23;3;2;0;0;0
"21-06-2012 13:40:00";666;42;28;36;4;2;0;0;0
"21-06-2012 13:50:00";797.837;38;43;28;3;6;0;1;0
"21-06-2012 14:00:00";806.167;28;36;25;1;2;0;0;0
"21-06-2012 14:10:00";874.139;31;36;25;3;3;0;0;0
"21-06-2012 14:20:00";729.27;47;37;37;4;6;0;0;0
"21-06-2012 14:30:00";646.311;38;45;33;2;2;0;1;0
"21-06-2012 14:40:00";741.29;27;31;21;1;5;0;0;0
"21-06-2012 14:50:00";778.939;41;33;35;1;5;0;0;0
"21-06-2012 15:00:00";793.722;36;36;25;3;7;1;0;0
"21-06-2012 15:10:00";781.903;36;31;25;3;7;0;0;1
"21-06-2012 15:20:00";816.914;48;35;33;6;8;1;0;0
"21-06-2012 15:30:00";964.919;37;37;29;3;5;0;0;0
"21-06-2012 15:40:00";934.896;38;48;32;1;5;0;0;0
"21-06-2012 15:50:00";796.077;39;26;33;4;2;0;0;0
"21-06-2012 16:00:00";1019.42;30;43;28;0;2;0;0;0
"21-06-2012 16:10:00";934.5;46;38;36;4;5;0;1;0
"21-06-2012 16:20:00";1012.76;38;34;31;2;5;0;0;0
"21-06-2012 16:30:00";943.915;47;47;41;3;2;1;0;0
"21-06-2012 16:40:00";787;33;44;24;1;5;1;1;1
"21-06-2012 16:50:00";1004.91;33;35;30;1;2;0;0;0
"21-06-2012 17:00:00";1047.91;37;32;30;3;3;1;0;0
"21-06-2012 17:10:00";947.974;35;39;28;1;5;0;1;0
"21-06-2012 17:20:00";768.475;46;40;38;3;5;0;0;0
"21-06-2012 17:30:00";806.219;49;41;40;4;4;0;1;0
"21-06-2012 17:40:00";915.929;51;42;44;4;3;0;0;0
"21-06-2012 17:50:00";896.94;35;50;30;1;4;0;0;0
"21-06-2012 18:00:00";991.026;29;39;19;3;6;0;1;0
"21-06-2012 18:10:00";939.816;29;38;22;4;3;0;0;0
"21-06-2012 18:20:00";778.588;20;34;14;3;3;0;0;0
"21-06-2012 18:30:00";596.538;36;26;29;2;4;1;0;0
"21-06-2012 18:40:00";853.061;29;33;26;1;2;0;0;0
"21-06-2012 18:50:00";577.5;23;26;19;2;2;0;0;0
"21-06-2012 19:00:00";1006.39;31;31;28;1;1;1;0;0
"21-06-2012 19:10:00";660.194;22;31;17;3;1;0;1;0
"21-06-2012 19:20:00";565.045;10;22;10;0;0;0;0;0
"21-06-2012 19:30:00";617.769;9;13;9;0;0;0;0;0
"21-06-2012 19:40:00";462;5;6;5;0;0;0;0;0
"21-06-2012 19:50:00";916;4;4;4;0;0;0;0;0
"21-06-2012 20:00:00";433.714;7;7;7;0;0;0;0;0
"21-06-2012 20:10:00";630.3;10;10;10;0;0;0;0;0
"21-06-2012 20:20:00";377.5;5;8;5;0;0;0;0;0
"21-06-2012 20:30:00";428.667;0;3;0;0;0;0;0;0
"21-06-2012 20:40:00";0;0;0;0;0;0;0;0;0
"21-06-2012 20:50:00";0;0;0;0;0;0;0;0;0
"21-06-2012 21:00:00";0;2;0;1;1;0;0;0;0
"21-06-2012 21:10:00";0;2;0;1;1;0;0;0;0
"21-06-2012 21:20:00";0;2;0;0;1;1;0;0;0
"21-06-2012 21:30:00";836;30;2;19;10;1;0;0;0
"21-06-2012 21:40:00";546.108;30;37;22;5;2;0;0;1
"21-06-2012 21:50:00";465.364;21;33;18;1;1;0;1;0
"21-06-2012 22:00:00";794.5;22;14;14;5;0;0;0;3
"21-06-2012 22:10:00";634.08;20;25;14;4;1;0;0;1
"21-06-2012 22:20:00";625.737;9;19;5;2;1;0;1;0
"21-06-2012 22:30:00";659.625;23;8;20;0;1;0;1;1
"21-06-2012 22:40:00";391.379;29;29;20;6;2;0;0;1
"21-06-2012 22:50:00";431.407;17;27;15;1;0;0;0;1
"21-06-2012 23:00:00";737.688;17;16;14;3;0;0;0;0
"21-06-2012 23:10:00";478.944;17;18;13;4;0;0;0;0
"21-06-2012 23:20:00";425.824;25;17;18;5;1;0;0;1
"21-06-2012 23:30:00";428.28;15;25;11;3;0;1;0;0
"21-06-2012 23:40:00";483.5;20;18;14;5;0;0;0;1
"21-06-2012 23:50:00";500.353;11;17;8;2;0;0;0;1
"22-06-2012 00:00:00";432.857;0;7;0;0;0;0;0;0
