"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"20-06-2012 23:50:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:00:00";401.25;5;4;3;2;0;0;0;0
"21-06-2012 00:10:00";386.5;20;6;16;2;1;0;0;1
"21-06-2012 00:20:00";460.882;19;17;13;4;0;0;1;1
"21-06-2012 00:30:00";471.9;22;30;18;3;0;0;0;1
"21-06-2012 00:40:00";529.769;9;13;5;3;0;0;0;1
"21-06-2012 00:50:00";601.3;8;10;6;2;0;0;0;0
"21-06-2012 01:00:00";451.5;9;8;9;0;0;0;0;0
"21-06-2012 01:10:00";411.875;5;8;4;1;0;0;0;0
"21-06-2012 01:20:00";422.5;4;4;4;0;0;0;0;0
"21-06-2012 01:30:00";505.5;0;2;0;0;0;0;0;0
"21-06-2012 01:40:00";704;9;3;6;3;0;0;0;0
"21-06-2012 01:50:00";418.875;3;8;2;1;0;0;0;0
"21-06-2012 02:00:00";392.5;8;4;7;0;0;0;0;1
"21-06-2012 02:10:00";400.364;24;11;18;5;0;0;0;1
"21-06-2012 02:20:00";413.917;12;24;12;0;0;0;0;0
"21-06-2012 02:30:00";474.444;9;9;4;4;0;0;0;1
"21-06-2012 02:40:00";400.333;4;9;2;1;0;1;0;0
"21-06-2012 02:50:00";451.667;4;3;4;0;0;0;0;0
"21-06-2012 03:00:00";604;8;2;7;1;0;0;0;0
"21-06-2012 03:10:00";684.8;6;10;4;1;0;1;0;0
"21-06-2012 03:20:00";544.857;14;7;14;0;0;0;0;0
"21-06-2012 03:30:00";486.833;6;12;4;1;0;1;0;0
"21-06-2012 03:40:00";464.7;10;10;6;3;0;0;0;1
"21-06-2012 03:50:00";382;11;5;6;3;0;1;0;1
"21-06-2012 04:00:00";434.056;19;18;14;4;0;1;0;0
"21-06-2012 04:10:00";465.733;12;15;6;3;0;1;0;2
"21-06-2012 04:20:00";625.833;13;12;7;5;0;1;0;0
"21-06-2012 04:30:00";470.667;11;15;7;1;1;0;0;2
"21-06-2012 04:40:00";399.538;19;13;13;3;1;1;0;1
"21-06-2012 04:50:00";458;24;18;19;3;1;0;1;0
"21-06-2012 05:00:00";443.25;11;16;9;1;1;0;0;0
"21-06-2012 05:10:00";529.444;22;18;18;1;3;0;0;0
"21-06-2012 05:20:00";431.4;30;20;21;4;4;0;0;1
"21-06-2012 05:30:00";534.216;35;37;23;6;4;1;1;0
"21-06-2012 05:40:00";490.094;35;32;24;7;4;0;0;0
"21-06-2012 05:50:00";497.441;33;34;26;1;6;0;0;0
"21-06-2012 06:00:00";492.276;38;29;29;4;4;1;0;0
"21-06-2012 06:10:00";558.682;61;44;47;6;7;0;1;0
"21-06-2012 06:20:00";605.55;66;60;50;7;6;2;1;0
"21-06-2012 06:30:00";552.492;43;61;37;2;4;0;0;0
"21-06-2012 06:40:00";654.622;34;37;26;4;4;0;0;0
"21-06-2012 06:50:00";776.579;46;19;34;4;6;0;2;0
"21-06-2012 07:00:00";935.611;19;36;12;3;4;0;0;0
"21-06-2012 07:10:00";1016.39;46;38;37;4;4;1;0;0
"21-06-2012 07:20:00";877.733;43;30;33;5;5;0;0;0
"21-06-2012 07:30:00";993.868;41;38;33;4;4;0;0;0
"21-06-2012 07:40:00";1113.31;28;32;20;4;4;0;0;0
"21-06-2012 07:50:00";1312.73;42;26;30;5;6;1;0;0
"21-06-2012 08:00:00";1421.09;31;32;20;5;5;1;0;0
"21-06-2012 08:10:00";1370.62;35;39;28;0;7;0;0;0
"21-06-2012 08:20:00";1388.17;25;36;22;1;2;0;0;0
"21-06-2012 08:30:00";1303.24;33;34;26;2;4;0;1;0
"21-06-2012 08:40:00";1324;40;32;34;1;4;0;1;0
"21-06-2012 08:50:00";1236.12;40;32;26;5;7;1;1;0
"21-06-2012 09:00:00";1325.54;34;41;23;4;4;1;2;0
"21-06-2012 09:10:00";1177.43;34;40;25;3;3;1;2;0
"21-06-2012 09:20:00";1081.87;32;46;24;4;4;0;0;0
"21-06-2012 09:30:00";887.333;40;33;34;2;3;1;0;0
"21-06-2012 09:40:00";1089.42;38;36;31;5;2;0;0;0
"21-06-2012 09:50:00";955.471;30;51;23;4;3;0;0;0
"21-06-2012 10:00:00";827.129;31;31;25;5;1;0;0;0
"21-06-2012 10:10:00";779.949;42;39;31;4;6;1;0;0
"21-06-2012 10:20:00";827.59;53;39;42;8;3;0;0;0
"21-06-2012 10:30:00";714.711;44;38;37;4;1;0;2;0
"21-06-2012 10:40:00";788.924;39;53;29;6;3;1;0;0
"21-06-2012 10:50:00";824.545;43;44;33;3;4;1;2;0
"21-06-2012 11:00:00";776.294;50;34;42;6;2;0;0;0
"21-06-2012 11:10:00";781.804;48;46;33;10;0;3;2;0
"21-06-2012 11:20:00";1024.39;42;36;33;7;2;0;0;0
