"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"20-06-2012 23:00:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:00:00";485.2;83;80;61;16;1;0;1;4
"21-06-2012 01:00:00";456.697;30;33;25;5;0;0;0;0
"21-06-2012 02:00:00";418.933;61;60;47;10;0;1;0;3
"21-06-2012 03:00:00";527.587;55;46;41;9;0;3;0;2
"21-06-2012 04:00:00";470.407;98;91;66;19;3;4;1;5
"21-06-2012 05:00:00";494.344;166;157;121;20;22;1;1;1
"21-06-2012 06:00:00";591.476;288;250;223;27;31;3;4;0
"21-06-2012 07:00:00";1030.81;219;200;165;25;27;2;0;0
"21-06-2012 08:00:00";1342.13;204;205;156;14;29;2;3;0
"21-06-2012 09:00:00";1086.8;208;247;160;22;19;3;4;0
"21-06-2012 10:00:00";793.389;252;244;197;30;18;3;4;0
"21-06-2012 11:00:00";951.135;265;259;209;34;16;3;3;0
"21-06-2012 12:00:00";845.336;193;235;159;14;17;3;0;0
"21-06-2012 13:00:00";820.162;226;191;180;22;21;1;2;0
"21-06-2012 14:00:00";757.995;212;218;176;12;23;0;1;0
"21-06-2012 15:00:00";857.653;234;213;177;20;34;2;0;1
"21-06-2012 16:00:00";945.826;227;241;190;11;21;2;2;1
"21-06-2012 17:00:00";891.861;253;244;210;16;24;1;2;0
"21-06-2012 18:00:00";813.832;166;196;129;15;20;1;1;0
"21-06-2012 19:00:00";734.224;81;107;73;4;2;1;1;0
"21-06-2012 20:00:00";487.321;22;28;22;0;0;0;0;0
"21-06-2012 21:00:00";517.153;87;72;61;19;5;0;1;1
"21-06-2012 22:00:00";550.32;120;122;88;18;5;0;2;7
"21-06-2012 23:00:00";500.712;105;111;78;22;1;1;0;3
"22-06-2012 00:00:00";432.857;0;7;0;0;0;0;0;0
