"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"19-06-2012 23:55:00";0;4;0;3;1;0;0;0;0
"20-06-2012 00:00:00";396.333;0;3;0;0;0;0;0;0
"20-06-2012 00:05:00";0;1;0;0;1;0;0;0;0
"20-06-2012 00:10:00";0;5;0;3;1;1;0;0;0
"20-06-2012 00:15:00";413.75;4;4;3;1;0;0;0;0
"20-06-2012 00:20:00";439;10;5;8;2;0;0;0;0
"20-06-2012 00:25:00";573.125;9;8;8;1;0;0;0;0
"20-06-2012 00:30:00";464.2;8;5;5;2;0;0;0;1
"20-06-2012 00:35:00";511.4;2;10;0;1;0;1;0;0
"20-06-2012 00:40:00";548.2;1;5;0;1;0;0;0;0
"20-06-2012 00:45:00";460.5;3;2;2;1;0;0;0;0
"20-06-2012 00:50:00";1073;9;3;6;1;0;1;1;0
"20-06-2012 00:55:00";406.875;5;8;1;3;0;0;0;1
"20-06-2012 01:00:00";415.667;5;3;2;3;0;0;0;0
"20-06-2012 01:05:00";623;7;7;4;3;0;0;0;0
"20-06-2012 01:10:00";425.5;6;6;4;1;0;0;0;1
"20-06-2012 01:15:00";414.857;6;7;6;0;0;0;0;0
"20-06-2012 01:20:00";425.667;6;6;5;1;0;0;0;0
"20-06-2012 01:25:00";411.25;3;4;3;0;0;0;0;0
"20-06-2012 01:30:00";659.167;5;6;3;2;0;0;0;0
"20-06-2012 01:35:00";466.6;8;5;7;1;0;0;0;0
"20-06-2012 01:40:00";410;9;8;8;1;0;0;0;0
"20-06-2012 01:45:00";589.833;4;6;3;1;0;0;0;0
"20-06-2012 01:50:00";427.625;7;8;5;2;0;0;0;0
"20-06-2012 01:55:00";395.75;2;8;2;0;0;0;0;0
"20-06-2012 02:00:00";0;6;0;6;0;0;0;0;0
"20-06-2012 02:05:00";418.6;2;5;2;0;0;0;0;0
"20-06-2012 02:10:00";491;4;3;4;0;0;0;0;0
"20-06-2012 02:15:00";401.667;1;3;0;1;0;0;0;0
"20-06-2012 02:20:00";458.667;2;3;2;0;0;0;0;0
"20-06-2012 02:25:00";363;4;2;2;2;0;0;0;0
"20-06-2012 02:30:00";350;1;1;1;0;0;0;0;0
"20-06-2012 02:35:00";444.667;4;3;3;1;0;0;0;0
"20-06-2012 02:40:00";377;5;3;5;0;0;0;0;0
"20-06-2012 02:45:00";501.5;4;2;4;0;0;0;0;0
"20-06-2012 02:50:00";430.429;3;7;1;1;0;0;0;1
"20-06-2012 02:55:00";502.5;2;4;2;0;0;0;0;0
"20-06-2012 03:00:00";1559.33;5;3;4;1;0;0;0;0
"20-06-2012 03:05:00";414.75;9;4;8;1;0;0;0;0
"20-06-2012 03:10:00";417;7;7;6;0;0;0;0;1
"20-06-2012 03:15:00";468.4;6;10;3;3;0;0;0;0
"20-06-2012 03:20:00";428.333;10;6;9;0;0;0;0;1
"20-06-2012 03:25:00";401.625;4;8;4;0;0;0;0;0
"20-06-2012 03:30:00";444;9;3;5;2;1;0;0;1
"20-06-2012 03:35:00";413.889;5;9;4;1;0;0;0;0
"20-06-2012 03:40:00";533.889;10;9;9;0;0;1;0;0
"20-06-2012 03:45:00";411.857;9;7;7;1;0;1;0;0
"20-06-2012 03:50:00";414.778;10;9;8;2;0;0;0;0
"20-06-2012 03:55:00";436.727;6;11;5;0;1;0;0;0
"20-06-2012 04:00:00";454;5;2;4;0;0;1;0;0
"20-06-2012 04:05:00";498.857;7;7;6;1;0;0;0;0
"20-06-2012 04:10:00";454.75;8;8;5;2;0;0;0;1
