"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"19-06-2012 23:45:00";0;4;0;3;1;0;0;0;0
"20-06-2012 00:00:00";396.333;6;3;3;2;1;0;0;0
"20-06-2012 00:15:00";496.176;23;17;19;4;0;0;0;0
"20-06-2012 00:30:00";508.8;11;20;5;4;0;1;0;1
"20-06-2012 00:45:00";568.846;17;13;9;5;0;1;1;1
"20-06-2012 01:00:00";510.062;18;16;10;7;0;0;0;1
"20-06-2012 01:15:00";417.824;15;17;14;1;0;0;0;0
"20-06-2012 01:30:00";503.579;22;19;18;4;0;0;0;0
"20-06-2012 01:45:00";460.273;13;22;10;3;0;0;0;0
"20-06-2012 02:00:00";445.75;12;8;12;0;0;0;0;0
"20-06-2012 02:15:00";413.375;7;8;4;3;0;0;0;0
"20-06-2012 02:30:00";402.143;10;7;9;1;0;0;0;0
"20-06-2012 02:45:00";463.538;9;13;7;1;0;0;0;1
"20-06-2012 03:00:00";661.143;21;14;18;2;0;0;0;1
"20-06-2012 03:15:00";436.125;20;24;16;3;0;0;0;1
"20-06-2012 03:30:00";469.619;24;21;18;3;1;1;0;1
"20-06-2012 03:45:00";422.963;25;27;20;3;1;1;0;0
"20-06-2012 04:00:00";472.824;20;17;15;3;0;1;0;1
"20-06-2012 04:15:00";462.611;21;18;17;1;0;2;1;0
"20-06-2012 04:30:00";455.08;17;25;15;1;0;0;0;1
"20-06-2012 04:45:00";434.941;19;17;16;2;1;0;0;0
"20-06-2012 05:00:00";609.667;1;6;1;0;0;0;0;0
"20-06-2012 05:15:00";755.917;29;12;21;2;5;0;1;0
"20-06-2012 05:30:00";495.949;45;39;31;8;6;0;0;0
"20-06-2012 05:45:00";467.4;63;55;46;7;8;2;0;0
"20-06-2012 06:00:00";527.694;65;62;50;3;10;1;1;0
"20-06-2012 06:15:00";531.651;96;66;80;6;9;0;1;0
"20-06-2012 06:30:00";654.901;80;91;62;9;8;1;0;0
"20-06-2012 06:45:00";750.273;77;66;58;7;9;1;2;0
"20-06-2012 07:00:00";846.042;66;71;49;8;9;0;0;0
"20-06-2012 07:15:00";955.491;66;55;49;3;12;0;1;1
"20-06-2012 07:30:00";993.222;52;54;47;1;4;0;0;0
"20-06-2012 07:45:00";1131.57;60;61;48;1;10;0;1;0
"20-06-2012 08:00:00";1187.71;58;45;46;4;8;0;0;0
"20-06-2012 08:15:00";1304.85;58;54;43;5;8;0;2;0
"20-06-2012 08:30:00";1414.11;63;56;53;3;5;1;1;0
"20-06-2012 08:45:00";1401.17;59;58;46;6;4;2;1;0
"20-06-2012 09:00:00";1355.48;55;65;44;6;4;1;0;0
"20-06-2012 09:15:00";1163;59;71;47;6;5;1;0;0
"20-06-2012 09:30:00";1089.95;64;66;55;4;4;1;0;0
"20-06-2012 09:45:00";905.62;51;79;38;6;5;1;1;0
"20-06-2012 10:00:00";676.561;52;57;41;4;4;0;3;0
"20-06-2012 10:15:00";733.692;58;52;49;5;4;0;0;0
"20-06-2012 10:30:00";724.741;56;58;48;4;2;0;2;0
"20-06-2012 10:45:00";668.347;60;49;41;9;6;3;1;0
"20-06-2012 11:00:00";670.197;69;71;59;7;3;0;0;0
"20-06-2012 11:15:00";768.098;41;51;36;2;3;0;0;0
"20-06-2012 11:30:00";820.776;56;49;45;6;4;0;1;0
"20-06-2012 11:45:00";716.473;64;55;54;3;6;1;0;0
"20-06-2012 12:00:00";860.323;63;62;50;9;4;0;0;0
"20-06-2012 12:15:00";761.559;64;68;53;7;4;0;0;0
"20-06-2012 12:30:00";759.508;50;61;41;4;5;0;0;0
"20-06-2012 12:45:00";738.736;45;53;35;7;2;1;0;0
"20-06-2012 13:00:00";770.444;48;36;37;6;4;0;1;0
"20-06-2012 13:15:00";849.788;55;66;41;5;8;1;0;0
"20-06-2012 13:30:00";714.902;32;41;26;1;3;0;2;0
"20-06-2012 13:45:00";707.745;54;47;41;7;5;1;0;0
"20-06-2012 14:00:00";665.065;52;46;41;4;6;0;1;0
"20-06-2012 14:15:00";685.941;63;51;47;8;7;1;0;0
"20-06-2012 14:30:00";759.236;40;55;25;6;8;0;1;0
"20-06-2012 14:45:00";777.038;58;53;46;4;8;0;0;0
"20-06-2012 15:00:00";674.686;62;51;49;5;8;0;0;0
"20-06-2012 15:15:00";692.672;72;61;56;5;9;0;1;1
"20-06-2012 15:30:00";841.851;63;67;51;7;5;0;0;0
"20-06-2012 15:45:00";825.821;41;56;34;1;5;0;0;1
"20-06-2012 16:00:00";999.566;56;53;43;5;6;1;0;1
"20-06-2012 16:15:00";766.8;45;55;34;4;6;1;0;0
"20-06-2012 16:30:00";720.073;47;41;40;2;5;0;0;0
"20-06-2012 16:45:00";719.76;62;50;51;5;5;1;0;0
"20-06-2012 17:00:00";942.065;79;62;69;3;6;1;0;0
"20-06-2012 17:15:00";897.544;57;68;45;3;7;1;1;0
"20-06-2012 17:30:00";994.585;55;53;48;1;6;0;0;0
"20-06-2012 17:45:00";947.889;52;63;40;3;7;1;1;0
"20-06-2012 18:00:00";964.938;67;48;58;1;8;0;0;0
"20-06-2012 18:15:00";1012.1;59;63;49;6;4;0;0;0
"20-06-2012 18:30:00";971.557;63;70;53;3;7;0;0;0
"20-06-2012 18:45:00";779.806;42;67;34;4;3;0;1;0
"20-06-2012 19:00:00";741.875;22;32;21;1;0;0;0;0
"20-06-2012 19:15:00";659.769;63;52;52;4;6;1;0;0
"20-06-2012 19:30:00";572.982;51;55;44;2;4;0;0;1
"20-06-2012 19:45:00";594.44;36;50;29;5;2;0;0;0
"20-06-2012 20:00:00";539.64;14;25;14;0;0;0;0;0
"20-06-2012 20:15:00";451;10;10;9;1;0;0;0;0
"20-06-2012 20:30:00";567.462;8;13;7;0;0;0;0;1
"20-06-2012 20:45:00";396.75;1;4;1;0;0;0;0;0
"20-06-2012 21:00:00";0;0;0;0;0;0;0;0;0
"20-06-2012 21:15:00";0;1;0;0;1;0;0;0;0
"20-06-2012 21:30:00";505.857;36;14;29;4;1;0;0;2
"20-06-2012 21:45:00";474.311;52;45;38;8;4;0;0;2
"20-06-2012 22:00:00";515.333;39;39;34;4;0;0;0;1
"20-06-2012 22:15:00";529.5;31;50;24;4;0;1;1;1
"20-06-2012 22:30:00";692.25;24;16;21;1;1;0;1;0
"20-06-2012 22:45:00";480.447;45;38;30;13;0;1;0;1
"20-06-2012 23:00:00";438.55;34;40;26;6;0;1;0;1
"20-06-2012 23:15:00";462;34;39;31;2;1;0;0;0
"20-06-2012 23:30:00";556.182;12;22;10;1;0;0;0;1
"20-06-2012 23:45:00";438.5;5;10;5;0;0;0;0;0
