"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"20-06-2012 23:45:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:00:00";386.2;14;5;9;3;1;0;0;1
"21-06-2012 00:15:00";446.727;30;22;23;5;0;0;1;1
"21-06-2012 00:30:00";497.611;28;36;21;5;0;0;0;2
"21-06-2012 00:45:00";537.824;11;17;8;3;0;0;0;0
"21-06-2012 01:00:00";437;11;14;11;0;0;0;0;0
"21-06-2012 01:15:00";413.167;7;6;6;1;0;0;0;0
"21-06-2012 01:30:00";505.5;2;2;1;1;0;0;0;0
"21-06-2012 01:45:00";496.636;10;11;7;3;0;0;0;0
"21-06-2012 02:00:00";393.667;20;9;17;1;0;0;0;2
"21-06-2012 02:15:00";412.167;24;30;20;4;0;0;0;0
"21-06-2012 02:30:00";446;12;15;6;5;0;0;0;1
"21-06-2012 02:45:00";423;5;6;4;0;0;1;0;0
"21-06-2012 03:00:00";790.143;12;7;10;2;0;0;0;0
"21-06-2012 03:15:00";528.25;16;12;15;0;0;1;0;0
"21-06-2012 03:30:00";495;12;16;6;4;0;1;0;1
"21-06-2012 03:45:00";407.182;15;11;10;3;0;1;0;1
"21-06-2012 04:00:00";433.148;25;27;17;6;0;1;0;1
"21-06-2012 04:15:00";589.667;19;18;10;6;0;2;0;1
"21-06-2012 04:30:00";440.15;20;20;15;2;1;0;0;2
"21-06-2012 04:45:00";449.808;34;26;24;5;2;1;1;1
"21-06-2012 05:00:00";528.55;22;20;19;2;1;0;0;0
"21-06-2012 05:15:00";431.735;41;34;29;4;7;0;0;1
"21-06-2012 05:30:00";515.426;51;54;35;10;4;1;1;0
"21-06-2012 05:45:00";500.592;52;49;38;4;10;0;0;0
"21-06-2012 06:00:00";527.205;68;44;49;9;9;1;0;0
"21-06-2012 06:15:00";584.202;97;89;77;8;8;2;2;0
"21-06-2012 06:30:00";567.383;55;81;47;4;4;0;0;0
"21-06-2012 06:45:00";742.222;68;36;50;6;10;0;2;0
"21-06-2012 07:00:00";957.6;44;55;32;6;6;0;0;0
"21-06-2012 07:15:00";938.143;64;49;50;6;7;1;0;0
"21-06-2012 07:30:00";1024.36;55;55;44;6;5;0;0;0
"21-06-2012 07:45:00";1248.39;56;41;39;7;9;1;0;0
"21-06-2012 08:00:00";1434.1;46;49;32;5;8;1;0;0
"21-06-2012 08:15:00";1355.72;45;58;38;1;6;0;0;0
"21-06-2012 08:30:00";1338.49;54;51;45;2;6;0;1;0
"21-06-2012 08:45:00";1233.43;59;47;41;6;9;1;2;0
"21-06-2012 09:00:00";1276.44;44;63;29;5;6;1;3;0
"21-06-2012 09:15:00";1106.16;56;64;43;6;5;1;1;0
"21-06-2012 09:30:00";956.633;61;49;52;4;4;1;0;0
