"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"20-06-2012 23:30:00";0;2;0;1;1;0;0;0;0
"21-06-2012 00:00:00";435.519;44;27;32;8;1;0;1;2
"21-06-2012 00:30:00";510.509;39;53;29;8;0;0;0;2
"21-06-2012 01:00:00";429.85;18;20;17;1;0;0;0;0
"21-06-2012 01:30:00";498;12;13;8;4;0;0;0;0
"21-06-2012 02:00:00";407.897;44;39;37;5;0;0;0;2
"21-06-2012 02:30:00";439.429;17;21;10;5;0;1;0;1
"21-06-2012 03:00:00";624.737;28;19;25;2;0;1;0;0
"21-06-2012 03:30:00";459.222;27;27;16;7;0;2;0;2
"21-06-2012 04:00:00";495.756;44;45;27;12;0;3;0;2
"21-06-2012 04:30:00";445.609;54;46;39;7;3;1;1;3
"21-06-2012 05:00:00";467.593;63;54;48;6;8;0;0;1
"21-06-2012 05:30:00";508.369;103;103;73;14;14;1;1;0
"21-06-2012 06:00:00";565.346;165;133;126;17;17;3;2;0
"21-06-2012 06:30:00";621.18;123;117;97;10;14;0;2;0
"21-06-2012 07:00:00";948.433;108;104;82;12;13;1;0;0
"21-06-2012 07:30:00";1120.04;111;96;83;13;14;1;0;0
"21-06-2012 08:00:00";1391.62;91;107;70;6;14;1;0;0
"21-06-2012 08:30:00";1288.1;113;98;86;8;15;1;3;0
"21-06-2012 09:00:00";1190.63;100;127;72;11;11;2;4;0
"21-06-2012 09:30:00";976.917;108;120;88;11;8;1;0;0
"21-06-2012 10:00:00";810.413;126;109;98;17;10;1;0;0
"21-06-2012 10:30:00";779.644;126;135;99;13;8;2;4;0
"21-06-2012 11:00:00";855.474;140;116;108;23;4;3;2;0
"21-06-2012 11:30:00";1028.73;125;143;101;11;12;0;1;0
"21-06-2012 12:00:00";909.88;111;117;91;9;9;2;0;0
"21-06-2012 12:30:00";781.339;82;118;68;5;8;1;0;0
"21-06-2012 13:00:00";906.554;118;83;93;12;11;1;1;0
"21-06-2012 13:30:00";753.768;108;108;87;10;10;0;1;0
"21-06-2012 14:00:00";802.514;106;109;87;8;11;0;0;0
"21-06-2012 14:30:00";713.477;106;109;89;4;12;0;1;0
"21-06-2012 15:00:00";798.088;120;102;83;12;22;2;0;1
"21-06-2012 15:30:00";912.387;114;111;94;8;12;0;0;0
"21-06-2012 16:00:00";989.391;114;115;95;6;12;0;1;0
"21-06-2012 16:30:00";906.063;113;126;95;5;9;2;1;1
"21-06-2012 17:00:00";912.099;118;111;96;7;13;1;1;0
"21-06-2012 17:30:00";874.97;135;133;114;9;11;0;1;0
"21-06-2012 18:00:00";908.423;78;111;55;10;12;0;1;0
"21-06-2012 18:30:00";690.306;88;85;74;5;8;1;0;0
"21-06-2012 19:00:00";763.036;63;84;55;4;2;1;1;0
"21-06-2012 19:30:00";629;18;23;18;0;0;0;0;0
"21-06-2012 20:00:00";494.36;22;25;22;0;0;0;0;0
"21-06-2012 20:30:00";428.667;0;3;0;0;0;0;0;0
"21-06-2012 21:00:00";0;6;0;2;3;1;0;0;0
"21-06-2012 21:30:00";517.153;81;72;59;16;4;0;1;1
"21-06-2012 22:00:00";670.069;51;58;33;11;2;0;1;4
"21-06-2012 22:30:00";441.797;69;64;55;7;3;0;1;3
"21-06-2012 23:00:00";542.412;59;51;45;12;1;0;0;1
"21-06-2012 23:30:00";465.267;46;60;33;10;0;1;0;2
"22-06-2012 00:00:00";432.857;0;7;0;0;0;0;0;0
